ID; Name; Description; Icon
444; I choose the best for Fishing; Win the Booty Bay fishing contest and choose the Arcanite Fishing Pole or the Hook of the Master Angler as your reward.; -inv_misc_fish_21
445; Real Fish Lover; Fish up one of the rare fish during the Booty Bay fishing contest.; -inv_misc_fish_10
446; Fish Collection; Catch the following fishes in Azeroth.; -inv_misc_fish_08
447; Water from Water; Fish up an Essence of Water.; -Spell_Nature_Acid_01
448; Captain’s Choice; Fish up the following types of rum.; -Inv_Drink_04
449; Gift of Mordor; Fish up The 1 Ring.; -Inv_Jewelry_Ring_03
450; Harbinger of a Sad End; Fish up Old Teamster's Skull.; -Inv_Misc_Bone_DwarfSkull_01
451; Great Snapper Catcher; Fish Snappers of the following sizes.; -inv_misc_fish_32
452; Thunderstorm of Perches; Fish Groupers of the following sizes.; -inv_misc_fish_06
453; Salmon Lover; Fish Salmons of the following sizes.; -inv_misc_fish_02
454; Lobster Hunter; Fish Lobsters of the following sizes.; -Inv_Misc_Fish_14
455; Azeroth's Greatest Angler; Complete the following fishing achievements listed below.; -Inv_FishingPole_01
457; Lunch Lady; Learn 5 cooking recipes.; -inv_misc_food_66
458; Short Order Cook; Learn 10 cooking recipes.; -inv_misc_food_65
459; Chef de Partie; Learn 25 cooking recipes.; -inv_misc_food_60
460; Sous Chef; Learn 50 cooking recipes.; -inv_misc_food_13
461; Chef de Cuisine; Learn 75 cooking recipes.; -inv_misc_food_92_lobster
462; Soup Specialist; Cook Nightfin Soup 100 times.; -Inv_Drink_17
463; Tuber Master; Cook Runn Tum Tuber Surprise 100 times.; -Inv_Misc_Food_63
464; Catch of the Day; Cook Grilled Squid 100 times.; -Inv_Misc_Fish_13
465; Grandma's Dumplings; Cook Smoked Desert Dumplings 100 times.; -Inv_Misc_Food_64
466; Large Festive Feast; Complete the cooking achievements listed below.; -Inv_Misc_Food_49
468; Somebody Likes Me; Raise a reputation to Exalted.; achievement_reputation_01
469; 5 Exalted Reputations; Raise 5 reputations to Exalted.; achievement_reputation_02
470; 10 Exalted Reputations; Raise 10 reputations to Exalted.; achievement_reputation_03
471; 15 Exalted Reputations; Raise 15 reputations to Exalted.; achievement_reputation_04
472; 20 Exalted Reputations; Raise 20 reputations to Exalted.; achievement_reputation_05
473; 25 Exalted Reputations; Raise 25 reputations to Exalted.; achievement_reputation_06
474; 30 Exalted Reputations; Raise 30 reputations to Exalted.; achievement_reputation_07
475; Ambassador of the Horde; Earn exalted reputation with 5 home cities.; achievement_pvp_o_h
476; Ambassador of the Alliance; Earn exalted reputation with 5 home cities.; achievement_pvp_o_a
477; Hydraxian Waterlords; Earn exalted status with the Hydraxian Waterlords.; -spell_frost_summonwaterelemental_2
478; Hero of the Zandalar Tribe; Earn exalted status with the Zandalar Tribe.; -inv_bijou_green
479; Brood of Nozdormu; Earn exalted status with the Brood of Nozdormu.; -Inv_Misc_Head_Dragon_Bronze
480; The Argent Dawn; Earn exalted status with the Argent Dawn.; -inv_jewelry_talisman_07
481; They Love Me In That Tunnel; Earn exalted status with Timbermaw Hold.; achievement_reputation_timbermaw
482; Darkmoon Faire; Reach Exalted with the faction of Darkmoon Faire.; -Inv_Misc_MissileLarge_Red
483; Thorium Brotherhood; Earn exalted status with the Thorium Brotherhood.; -inv_enchant_dustsoul
484; Agent of the Shen'dralar; Earn exalted status with Shen'dralar.; -inv_misc_book_11
500; Sulfuras, Hand of Ragnaros; Wielder of Sulfuras, Hand of Ragnaros.; -Inv_Hammer_Unique_Sulfuras
501; Thunderfury, Blessed Blade of the Windseeker; Wielder of Thunderfury, Blessed Blade of the Windseeker.; -Inv_Sword_39
502; Scarab Lord; Opened the gates of Ahn'Qiraj.; silithus
503; Why? Because It's Red; Obtain a Red Qiraji Resonating Crystal.; -Inv_Misc_QirajiCrystal_02
504; Atiesh, Greatstaff of the Guardian; Wielder of Atiesh, Greatstaff of the Guardian.; -Inv_Staff_Medivh
505; Swift Zulian Tiger; Obtain the Swift Zulian Tiger from High Priest Thekal in Zul'Gurub.; -ability_mount_jungletiger
506; Swift Razzashi Raptor; Obtain the Swift Razzashi Raptor from Bloodlord Mandokir in Zul'Gurub.; -ability_mount_raptor
507; Deathcharger's Reins; Obtain the Deathcharger's Reins from Rivendare in Stratholme.; -ability_mount_undeadhorse
508; Winterspring Frostsaber; Obtain a Winterspring Frostsaber.; -ability_mount_pinktiger
516; 25 Fish; Fish up 25 items.; inv_misc_fish_50
517; 50 Fish; Fish up 50 items.; inv_misc_fish_50
518; 100 Fish; Fish up 100 items.; inv_misc_fish_50
519; 250 Fish; Fish up 250 items.; inv_misc_fish_50
520; 500 Fish; Fish up 500 items.; inv_misc_fish_50
521; 1000 Fish; Fish up 1000 items.; inv_misc_fish_50
523; Avast Ye, Admiral!; Obtain the Bloodsail Admiral's Hat... and try to get some fresh air every now and then.; -inv_helmet_66
524; Dreadsteed of Xoroth; Completed the Dreadsteed of Xoroth warlock quest.; -ability_mount_dreadsteed
525; Charger; Completed the paladin quest to obtain a Charger.; -ability_mount_charger
531; Hallowed Be Thy Name; Complete the Hallow's End achievements listed below.; achievement_halloween_witch_01
532; Rotten Hallow; Ruin Hallow's End for the Horde by completing Sergeant Hartman's quests which involve crashing the wickerman festival and cleaning up the stinkbombs from Southshore.; achievement_halloween_rottenegg_01
533; Hallow's End Treats for Jesper!; Collect the the requested treats for Jesper.; -inv_misc_food_26
534; Trick or Treat!; Receive a Treat Bag from an innkeeper.; -inv_misc_food_30
535; Pumpkinmania; Obtain a Pumpkin Bag during Hallow's End.; -inv_misc_food_59
536; Invocation of the Wickerman; Receive the buff "Invocation of the Wickerman" during Hallow's End.; -inv_waepon_bow_zulgrub_d_02
537; The Mask Task; Obtain a Flimsy Mask during Hallow's End.; -inv_mask_06
538; A Mask for All Occasions; Collect the 16 unique Flimsy Masks listed below.; -inv_mask_04
539; The Masquerade; Get transformed by the Hallowed Wands listed below.; achievement_halloween_ghost_01
540; Defeat Sapphiron.; Defeat Sapphiron in Naxxramas.; -inv_misc_head_dragon_blue
541; Merrymaker; Complete the Winter Veil achievements listed below.; achievement_worldevent_merrymaker
542; On Metzen!; Save Metzen the Reindeer.; achievement_worldevent_reindeer
543; Simply Abominable; Complete the quest to retrieve Smokywood Pastures' stolen treats and receive a Smokywood Pastures' Thank You.; -inv_helmet_68
544; The Winter Veil Gourmet; During the Feast of Winter Veil, use your culinary expertise to produce a Gingerbread Cookie and Egg Nog.; -inv_misc_food_62
545; He Knows If You've Been Naughty; Open one of the presents underneath the Winter Veil tree once they are available.; -inv_holiday_christmas_present_01
546; Scrooge; Throw a snowball at King Magni Bronzebeard during the Feast of Winter Veil.; -inv_ammo_snowball
552; The Fishing Diplomat; Fish something up in Orgrimmar and Stormwind.; -inv_helmet_44
561; Tabard of the Argent Dawn; Obtained a Tabard of the Argent Dawn from the Scourge Invasion event.; -inv_shirt_guildtabard_01
562; The Safety Dance; Defeat Heigan the Unclean in Naxxramas without anyone in the raid dying.; -ability_rogue_quickrecovery
563; Make Quick Werk Of Him; Defeat Patchwerk in Naxxramas in 3 minutes or less.; -spell_shadow_abominationexplosion
565; Just Can't Get Enough; Defeat Kel'Thuzad in Naxxramas while killing at least 18 abominations in his chamber.; spell_deathknight_plaguestrike
566; With a Little Helper from My Friends; Earn 50 honorable kills as a Little Helper from the Winter Wondervolt machine.; achievement_worldevent_littlehelper
576; Cenarion Circle; Earn exalted status with the Cenarion Circle.; ability_druid_manatree
577; To the Looter Go the Spoils; Loot the Autographed Picture of Tigule in Alterac Valley.; -inv_scroll_10
578; We Had It All Along *cough*; Win Arathi Basin by 10 points (2000 to 1990).; -spell_shadow_improvedvampiricembrace
579; Arathi Basin Perfection; Win Arathi Basin with a score of 2000 to 0.; achievement_bg_abshutout
605; Fool For Love; Complete the Love is in the Air achievements listed below.; achievement_worldevent_valentine
606; My Love is Like a Red, Red Rose; Obtain a Bouquet of Red Roses during the Love is in the Air celebration.; -inv_rosebouquet01
607; Dangerous Love; Assist the Steamwheedle Cartel in stopping the sinister Crown Chemical Co. plot.; -spell_brokenheart
608; Sweet Tooth; Sample the Love is in the Air candies listed below.; -inv_valentineschocolate02
609; Lovely Luck Is On Your Side; Open a Lovely Dress Box and receive a Lovely Black Dress.; -inv_chest_cloth_50
610; Perma-Peddle; Obtain a permanent Peddlefeet pet by procuring a Truesilver Shafted Arrow.; -inv_ammo_arrow_02
611; To Honor One's Elders; Complete the Lunar Festival achievements listed below.; achievement_worldevent_lunar
612; A Coin of Ancestry; Receive a Coin of Ancestry.; -inv_misc_elvencoins
613; 5 Coins of Ancestry; Receive 5 Coins of Ancestry.; -inv_misc_elvencoins
614; 10 Coins of Ancestry; Receive 10 Coins of Ancestry.; -inv_misc_elvencoins
615; 25 Coins of Ancestry; Receive 25 Coins of Ancestry.; -inv_misc_elvencoins
616; 50 Coins of Ancestry; Receive 50 Coins of Ancestry.; -inv_misc_elvencoins
617; Elune's Blessing; Complete the Elune's Blessing quest by defeating Omen.; spell_holy_aspiration
618; Lunar Festival Finery; Purchase a festive pant suit or festive dress with Coins of Ancestry.; -inv_chest_cloth_59
619; Elders of the Dungeons; Honor the Elders which are located inside the dungeons.; -spell_holy_symbolofhope
620; Elders of the Alliance; Honor the Elders which are located in the Alliance capital cities.; -spell_holy_symbolofhope
621; Elders of Eastern Kingdoms; Honor the Elders which are located in Eastern Kingdoms; -spell_holy_symbolofhope
622; Elders of Kalimdor; Honor the Elders which are located in Kalimdor.; -spell_holy_symbolofhope
625; Sunday's Finest; Discover the White Tuxedo Shirt and Black Tuxedo Pants by opening Brightly Colored Eggs during the Noblegarden celebration.; -inv_shirt_08
626; Dressed for the Occasion; Discover an Elegant Dress by opening Brightly Colored Eggs during the Noblegarden celebration.; -inv_chest_cloth_04
628; For The Children; Complete the Children's Week achievements listed below.; -inv_misc_toy_04
629; Aw, Isn't It Cute?; Obtain one of the Children's Week reward pets.; -ability_hunter_pet_turtle
633; The Flame Keeper; Complete the Midsummer achievements listed below.; -inv_summerfest_symbol_high
634; King of the Fire Festival; Complete the quest, "A Thief's Reward", by stealing the flames from your enemy's capital cities.; -inv_helmet_08
650; What A Long, Strange Trip It's Been; Complete the world events achievements listed below.; achievement_bg_masterofallbgs
651; One of a Kind; Kill a rare elite creature in Kalimdor or Eastern Kingdoms.; -INV_Misc_MonsterClaw_02
652; Extremely Rare; Kill all the rare elite creatures in Kalimdor and Eastern Kingdoms listed below.; -Spell_Shadow_DeathScream
